Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Birnberg et al., 2019;Ae. vexans;33.3;5;15;60;3;5;20;3;15;100;3;3;20;3;15;disseminated;14;2w;14;2w;14;2w;22-26°C;22/26°C;7.5 log10 TCID50/ml;7.3;high;strain 56/74;Spain;F0;F0/F1
Birnberg et al., 2019;Ae. vexans;;;;;;;;;;82.2;37;45;;;;inoculated;;;;;7;1w;22-26°C;22/26°C;5.67 log10 TCID50;5.67 log10 TCID50;NA;strain 56/74;Spain;F0;F0/F1
Turell et al., 1988;Cx. pipiens;71.4;125;175;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,5 log10 PFU ingested/mosquito;6;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;67.6;127;188;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;4,5 log10 PFU ingested/mosquito;7;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;83.1;54;65;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,3 log10 PFU ingested/mosquito;5.8;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;52.3;34;65;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,3 log10 PFU ingested/mosquito;5.8;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;82.2;37;45;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;3,6 log10 PFU ingested/mosquito;6.1;medium;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;88.9;16;18;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;4,7 log10 PFU ingested/mosquito;7.2;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;60.9;28;46;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;4,8 log10 PFU ingested/mosquito;7.3;high;ZH501;Egypt;F73-F105;>F5
Turell et al., 1988;Cx. pipiens;87.5;28;32;;;;;;;;;;;;;;7;1w;;;;;26°C;>25°C;4,9 log10 PFU ingested/mosquito;7.4;high;ZH501;Egypt;F73-F105;>F5
